"","Candidate","Constituency_No","Party","pid","Votes","Margin","Margin_PC"
"1","JOLLE SHASHIKALA ANNASAHEB",1,"BJP","AEKE617",87006,8506,4.93814259423748
"2","GANESH PRAKASH HUKKERI",2,"INC","AEKE17720",91467,10569,5.89784655219558
"3","MAHESH IRANAGOUDA KUMATHALLI",3,"INC","AEKE642",82094,2331,1.36663442089526
"4","SHRIMANT BALASAHEB PATIL",4,"INC","GEKE17739",83060,32942,22.6040415823241
"5","P.RAJEEV",5,"BJP","AEKE663",67781,15008,10.9825616708012
"6","AIHOLE DURYODHAN MAHALINGAPPA",6,"BJP","AEKE17769",67502,16548,11.0027327309357
"7","UMESH VISHWANATH KATTI",7,"BJP","AEKE687",83588,15385,9.74431080456276
"8","BALACHANDRA LAKSHMANARAO JARAKIHOLI",8,"BJP","AEKE694",96144,47328,26.7486548808609
"9","JARKIHOLI RAMESH LAXMANRAO",9,"INC","AEKE704",90249,14280,8.20783998160708
"10","SATISH. L. JARKIHOLI",10,"INC","AEKE713",73512,2850,1.90594655324613
"11","ANIL S BENAKE",11,"BJP","AEKE17810",79057,17264,11.7105200681033
"12","ABHAY PATIL",12,"BJP","AEKE734",84498,58692,40.0040895613945
"13","LAXMI R HEBBALKAR",13,"INC","GEKE17836",102040,51724,27.7460988418562
"14","DR. ANJALI HEMANT NIMBALKAR",14,"INC","AEKE757",36649,5133,3.32838366219467
"15","DODDAGOUDAR MAHANTESH BASAVANTARAY",15,"BJP","AEKE17857",73155,32862,22.1275048480931
"16","KOUJALAGI. MAHANTESH. SHIVANAND.",16,"INC","AEKE17867",47040,5122,3.53729281767956
"17","ANAND @ VISHWANATH CHANDRASHEKHAR MAMANI",17,"BJP","AEKE789",62480,6291,4.09285198462009
"18","MAHADEVAPPA SHIVALINGAPPA YADAWAD",18,"BJP","AEKE800",68349,2875,1.89984669063227
"19","GOVIND MAKTHAPPA KARAJOL",19,"BJP","AEKE810",76431,15482,10.4587614589033
"20","SIDDU SAVADI",20,"BJP","AEKE816",87213,20889,12.0717753120666
"21","SIDDU BHIMAPPA NYAMGOUD",21,"INC","GEKE17910",49245,2795,1.81956668923494
"22","MURUGESH RUDRAPPA NIRANI",22,"BJP","AEKE833",85135,4811,2.7758224766037
"23","SIDDARAMAIAH",23,"INC","AEKE3440",67599,1696,1.03461949062071
"24","VEERABHADRAYYA (VEERANNA) CHARANTIMATH",24,"BJP","GEKE17954",85653,15934,9.8655819108296
"25","DODDANAGOUDA G PATIL",25,"BJP","AEKE861",65012,5227,3.33923198303233
"26","AMEENAPPA GOUDA S PATIL (NADAHALLI)",26,"BJP","AEKE3725",63512,8633,6.21983025692013
"27","SOMANAGOUDA B PATIL (SASANUR)",27,"BJP","AEKE883",38802,90,0.0780931390838807
"28","SHIVANAND PATIL",28,"INC","AEKE895",58647,3186,2.16140674608559
"29","MALLANAGOUD BASANAGOUD PATIL",29,"INC","AEKE908",98339,29715,17.3118937341606
"30","BASANAGOUD .R. PATIL (YATNAL)",30,"BJP","AEKE925",76308,6413,4.22733894517577
"31","DEVANAND FULASING CHAVAN",31,"JD(S)","AEKE941",59709,5601,3.18949022823562
"32","YASHVANTHARAYGOUDA VITTALAGOUDA PATIL",32,"INC","AEKE956",50401,9938,5.91157033150716
"33","MANAGULI MALLAPPA CHANNAVEERAPPA",33,"JD(S)","AEKE18034",70865,9305,5.79765227793839
"34","M Y PATIL",34,"INC","AEKE987",71735,10594,7.07644214070056
