"","Constituency_No","NewCand","Party","pid.x","Votes.x","OldCand","Last_party","pid.y","Votes.y"
"1",1,"JOLLE SHASHIKALA ANNASAHEB","BJP","AEKE617",87006,"JOLLE SHASHIKALA ANNASAHEB","BJP","AEKR11927",81860
"2",2,"GANESH PRAKASH HUKKERI","INC","AEKE17720",91467,"PRAKASH BABANNA HUKKERI","INC","GEKR4518",102237
"3",3,"MAHESH IRANAGOUDA KUMATHALLI","INC","AEKE642",82094,"LAXMAN SANGAPPA SAVADI","BJP","AEKR10125",74299
"4",4,"SHRIMANT BALASAHEB PATIL","INC","GEKE17739",83060,"BHARAMGOUD ALAGOUD KAGE","BJP","AEKR2435",41784
"5",5,"P.RAJEEV","BJP","AEKE663",67781,"P.RAJEEV","BSRCP","AEKR11965",71057
"6",6,"AIHOLE DURYODHAN MAHALINGAPPA","BJP","AEKE17769",67502,"AIHOLE DURYODHAN MAHALINGAPPA","BJP","AEKR11973",37535
"7",7,"UMESH VISHWANATH KATTI","BJP","AEKE687",83588,"UMESH VISHWANATH KATTI","BJP","AEKR6194",81810
"8",8,"BALACHANDRA LAKSHMANARAO JARAKIHOLI","BJP","AEKE694",96144,"BALACHANDRA LAXMANRAO JARKIHOLI","BJP","AEKR11751",99283
"9",9,"JARKIHOLI RAMESH LAXMANRAO","INC","AEKE704",90249,"JARKIHOLI RAMESH LAXMANRAO","INC","AEKR10074",79175
"10",10,"SATISH. L. JARKIHOLI","INC","AEKE713",73512,"SATISH LAXMANARAO JARAKIHOLI","INC","AEKR12008",70726
"11",11,"ANIL S BENAKE","BJP","AEKE17810",79057,"FAIROZ NURUDDIN SAITH","INC","AEKR12017",45125
"12",12,"ABHAY PATIL","BJP","AEKE734",84498,"SAMBHAJI LAKSHMAN PATIL","IND","AEKR8593",54426
"13",13,"LAXMI R HEBBALKAR","INC","GEKE17836",102040,"SANJAY B PATIL","BJP","AEKR12049",38322
"14",14,"DR. ANJALI HEMANT NIMBALKAR","INC","AEKE757",36649,"ARVIND CHANDRAKANT PATIL","IND","AEKR12067",37055
"15",15,"DODDAGOUDAR MAHANTESH BASAVANTARAY","BJP","AEKE17857",73155,"INAMADAR DANAPPAGOUDA BASANAGOUDA","INC","AEKR6130",53924
"16",16,"KOUJALAGI. MAHANTESH. SHIVANAND.","INC","AEKE17867",47040,"DR|| VISHWANATH IRANAGOUDA PATIL","KJP","AEKR14331",40709
"17",17,"ANAND @ VISHWANATH CHANDRASHEKHAR MAMANI","BJP","AEKE789",62480,"ANAND ALIAS VISHWANATH CHANDRASHEKHAR MAMANI","BJP","AEKR12091",46434
