"","Candidate","Constituency_No","Party","pid","Votes","Margin"
"1","JOLLE SHASHIKALA ANNASAHEB",1,"BJP","AEKE617",87006,8506
"2","GANESH PRAKASH HUKKERI",2,"INC","AEKE17720",91467,10569
"3","MAHESH IRANAGOUDA KUMATHALLI",3,"INC","AEKE642",82094,2331
"4","SHRIMANT BALASAHEB PATIL",4,"INC","GEKE17739",83060,32942
"5","P.RAJEEV",5,"BJP","AEKE663",67781,15008
"6","AIHOLE DURYODHAN MAHALINGAPPA",6,"BJP","AEKE17769",67502,16548
"7","UMESH VISHWANATH KATTI",7,"BJP","AEKE687",83588,15385
"8","BALACHANDRA LAKSHMANARAO JARAKIHOLI",8,"BJP","AEKE694",96144,47328
"9","JARKIHOLI RAMESH LAXMANRAO",9,"INC","AEKE704",90249,14280
"10","SATISH. L. JARKIHOLI",10,"INC","AEKE713",73512,2850
"11","ANIL S BENAKE",11,"BJP","AEKE17810",79060,17267
"12","ABHAY PATIL",12,"BJP","AEKE734",84498,58692
"13","LAXMI R HEBBALKAR",13,"INC","GEKE17836",102040,51724
"14","DR. ANJALI HEMANT NIMBALKAR",14,"INC","AEKE757",36649,5133
"15","DODDAGOUDAR MAHANTESH BASAVANTARAY",15,"BJP","AEKE17857",73155,32862
"16","KOUJALAGI. MAHANTESH. SHIVANAND.",16,"INC","AEKE17867",47040,5122
"17","ANAND @ VISHWANATH CHANDRASHEKHAR MAMANI",17,"BJP","AEKE789",62480,6291
"18","MAHADEVAPPA SHIVALINGAPPA YADAWAD",18,"BJP","AEKE800",68349,2875
"19","GOVIND MAKTHAPPA KARAJOL",19,"BJP","AEKE810",76431,15482
"20","SIDDU SAVADI",20,"BJP","AEKE816",87213,20889
"21","SIDDU BHIMAPPA NYAMGOUD",21,"INC","GEKE17910",49245,2795
"22","MURUGESH RUDRAPPA NIRANI",22,"BJP","AEKE833",85135,4811
"23","SIDDARAMAIAH",23,"INC","AEKE3440",67599,1696
"24","VEERABHADRAYYA (VEERANNA) CHARANTIMATH",24,"BJP","GEKE17954",85653,15934
"25","DODDANAGOUDA G PATIL",25,"BJP","AEKE861",65012,5227
"26","AMEENAPPA GOUDA S PATIL (NADAHALLI)",26,"BJP","AEKE3725",63512,8633
"27","SOMANAGOUDA B PATIL (SASANUR)",27,"BJP","AEKE883",38802,90
"28","SHIVANAND PATIL",28,"INC","AEKE895",58647,3186
"29","MALLANAGOUD BASANAGOUD PATIL",29,"INC","AEKE908",98339,29715
"30","BASANAGOUD .R. PATIL (YATNAL)",30,"BJP","AEKE925",76308,6413
"31","DEVANAND FULASING CHAVAN",31,"JD(S)","AEKE941",59709,5601
"32","YASHVANTHARAYGOUDA VITTALAGOUDA PATIL",32,"INC","AEKE956",50401,9938
"33","MANAGULI MALLAPPA CHANNAVEERAPPA",33,"JD(S)","AEKE18034",70865,9305
"34","M Y PATIL",34,"INC","AEKE987",71735,10594
"35","AJAY DHARAM SINGH",35,"INC","AEKE1001",68508,16056
"36","NARASIMHANAYAK (RAJUGOUDA)",36,"BJP","AEKE1016",104426,22568
"37","SHARANABASAPPA GOUDA DARSHANAPUR",37,"INC","AEKE1026",78642,30974
"38","VENKATREDDY MUDNAL",38,"BJP","AEKE18602",62227,12881
"39","NAGANGOUDA KANDKUR",39,"JD(S)","AEKE1046",79627,24480
"40","PRIYANK KHARGE",40,"INC","AEKE98",69700,4393
"41","RAJKUMAR PATIL",41,"BJP","AEKE1070",80668,7200
"42","DR. UMESH G JADHAV",42,"INC","AEKE1082",73905,19212
"43","BASAWARAJ MATTIMUD",43,"BJP","AEKE18635",61750,12386
"44","DATTATRAYA C PATIL REVOOR APPU GOUDA",44,"BJP","AEKE1109",64788,5431
"45","KANEEZ FATIMA",45,"INC","AEKE1134",64311,5940
"46","GUTTEDAR SUBHASH RUKMAYYA",46,"BJP","AEKE1149",76815,697
"47","B. NARAYANRAO",47,"INC","AEKE1162",61425,17272
"48","RAJSHEKHAR",48,"INC","AEKE19327",74945,31814
"49","BANDEPPA",49,"JD(S)","AEKE1191",55107,12742
"50","RAHIM KHAN",50,"INC","AEKE32",73270,10245
"51","ESHWAR KHANDRE",51,"INC","AEKE1228",84673,21438
"52","PRABHU CHAUHAN",52,"BJP","AEKE1240",75061,10592
"53","BASANAGOUDA DADDAL",53,"INC","AEKE3929",66656,9964
"54","DR. SHIVARAJ PATIL",54,"BJP","AEKE1265",56511,10991
"55","RAJA VENKATAPPA NAYAK",55,"JD(S)","AEKE1287",53548,15815
"56","SHIVANA GOUDA NAYAK",56,"BJP","AEKE42",67003,21045
"57","D. S. HOOLAGERI",57,"INC","AEKE18721",54230,4946
"58","VENKATRAO NADAGOUDA",58,"JD(S)","AEKE1317",71514,1597
"59","PRATAPGOUDA PATIL",59,"INC","AEKE1329",60387,213
"60","AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR",60,"INC","AEKE1340",87567,18031
"61","BASAVARAJ DADESUGUR",61,"BJP","AEKE1354",87735,14225
"62","PARANNA ESHWARAPPA MUNAVALLI",62,"BJP","AEKE1369",67617,7973
"63","ACHAR HALAPPA BASAPPA",63,"BJP","AEKE1378",79072,13318
"64","K. RAGHAVENDRA BASAVARAJ HITNAL",64,"INC","AEKE1389",98783,26351
"65","RAMAPPA SOBEPPA LAMANI",65,"BJP","AEKE1398",91967,29993
